CPH-L-131B. Size of Household--Households by Total Money Income in 1989, by State,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
------------------------------------------------------------------------------------------------------------,,,,,,,
                              Total,1-Person,2-Person,3-Person,4-Person,5-Person,6+-Persons,
"$42,500 to $44,999","10,108","1,022","3,154","2,279","1,907",988,758
"$45,000 to $47,499","10,651","1,248","3,250","1,980","2,037","1,142",994
"$47,500 to $49,999","9,142",617,"2,987","2,029","1,742",951,816
"$50,000 to $54,999","19,706","1,587","5,917","4,234","4,033","2,138","1,797"
"$55,000 to $59,999","15,999",955,"4,466","3,743","3,459","1,860","1,516"
"$60,000 to $74,499","37,911","1,598","10,233","8,797","8,499","4,418","4,366"
"$75,000 to $99,999","31,076",914,"6,951","6,970","7,159","4,008","5,074"
"$100,000 to $124,999","12,774",615,"2,624","2,308","2,715","1,804","2,708"
"$125,000 to $149,999","4,866",150,"1,173",788,"1,006",581,"1,168"
"$150,000 or more","7,801",516,"2,218","1,551","1,402",849,"1,265"
Median (dollars),"38,829","20,241","37,155","44,494","48,142","49,401","59,333"
,,,,,,,
,,,,,,,
IDAHO,,,,,,,
,,,,,,,
  Total,"361,432","80,364","122,797","55,994","53,089","27,238","21,950"
"Less than $5,000","19,805","11,579","4,114","2,130","1,182",478,322
"$5,000 to $9,999","38,078","21,559","9,479","3,043","1,954","1,231",812
"$10,000 to $12,499","20,979","8,178","7,377","2,226","1,723",849,626
"$12,500 to $14,999","19,542","5,888","7,517","2,398","1,844","1,050",845
"$15,000 to $17,499","21,930","6,273","8,348","2,913","2,279","1,174",943
"$17,500 to $19,999","19,434","4,184","7,586","2,789","2,508","1,333","1,034"
"$20,000 to $22,499","21,094","4,315","8,019","3,089","2,996","1,480","1,195"
"$22,500 to $24,999","17,897","3,038","6,824","2,770","2,696","1,430","1,139"
"$25,000 to $27,499","19,009","2,840","6,738","3,174","3,026","1,786","1,445"
"$27,500 to $29,999","15,567","1,899","5,843","2,782","2,585","1,239","1,219"
"$30,000 to $32,499","18,058","2,550","6,314","3,166","2,885","1,700","1,443"
"$32,500 to $34,999","12,999","1,156","4,832","2,318","2,393","1,340",960
"$35,000 to $37,499","13,982","1,309","4,653","2,600","2,738","1,314","1,368"
"$37,500 to $39,999","11,037",728,"3,639","2,125","2,378","1,169",998
"$40,000 to $42,499","12,255",898,"4,093","2,481","2,523","1,334",926
"$42,500 to $44,999","8,393",414,"2,808","1,677","1,741",915,838
"$45,000 to $47,499","9,056",686,"2,947","1,727","2,049",942,705
"$47,500 to $49,999","6,885",325,"2,313","1,481","1,492",643,631
"$50,000 to $54,999","13,313",664,"4,392","2,569","3,133","1,403","1,152"
"$55,000 to $59,999","8,518",283,"2,991","1,704","1,896",870,774
"$60,000 to $74,499","16,675",697,"5,903","3,310","3,805","1,708","1,252"
"$75,000 to $99,999","9,192",424,"3,269","2,082","1,631","1,027",759
"$100,000 to $124,999","3,454",185,"1,151",685,781,400,252
"$125,000 to $149,999","1,259",49,522,269,261,104,54
"$150,000 or more","3,021",243,"1,125",486,590,319,258
Median (dollars),"25,257","12,153","25,792","30,539","33,405","32,307","32,417"
,,,,,,,
,,,,,,,
ILLINOIS,,,,,,,
,,,,,,,
  Total,"4,197,720","1,071,131","1,273,998","705,044","640,343","314,087","193,117"
"Less than $5,000","254,426","136,753","44,718","33,070","22,612","10,097","7,176"
"$5,000 to $9,999","341,673","204,817","64,160","27,801","20,952","13,324","10,619"
"$10,000 to $12,499","176,049","88,196","48,034","16,990","11,407","6,269","5,153"
"$12,500 to $14,999","153,992","64,635","50,607","16,514","11,387","6,006","4,843"
"$15,000 to $17,499","176,628","69,850","58,811","20,604","14,478","7,243","5,642"
"$17,500 to $19,999","160,482","57,298","55,691","20,302","14,370","7,166","5,655"
"$20,000 to $22,499","187,883","63,162","63,705","25,462","19,567","9,832","6,155"
"$22,500 to $24,999","155,080","45,129","55,553","22,287","17,578","8,479","6,054"
"$25,000 to $27,499","178,932","52,505","60,144","27,104","21,758","10,811","6,610"
"$27,500 to $29,999","146,001","35,484","50,669","24,254","19,458","10,018","6,118"
"$30,000 to $32,499","186,209","46,985","58,619","31,364","27,923","13,236","8,082"
"$32,500 to $34,999","138,885","24,903","47,829","25,301","23,373","11,084","6,395"
"$35,000 to $37,499","164,520","32,055","53,301","29,893","27,918","13,908","7,445"
"$37,500 to $39,999","130,981","19,013","43,060","25,332","25,119","12,177","6,280"
"$40,000 to $42,499","157,343","23,954","50,278","30,119","29,984","15,360","7,648"
"$42,500 to $44,999","117,047","12,964","38,467","24,802","23,483","11,364","5,967"
"$45,000 to $47,499","128,640","13,198","42,094","26,891","27,500","12,022","6,935"
"$47,500 to $49,999","101,414","9,170","32,356","22,309","21,787","10,049","5,743"
"$50,000 to $54,999","205,916","17,389","66,695","43,965","44,888","21,113","11,866"
"$55,000 to $59,999","161,095","10,411","51,087","36,650","36,861","16,595","9,491"
"$60,000 to $74,499","334,370","18,585","102,705","76,882","77,339","37,114","21,745"
"$75,000 to $99,999","236,352","11,426","69,824","53,643","55,839","27,924","17,696"
"$100,000 to $124,999","90,668","5,780","26,993","19,893","20,583","10,571","6,848"
"$125,000 to $149,999","38,190","2,201","12,462","8,097","8,221","4,300","2,909"
"$150,000 or more","74,944","5,268","26,136","15,515","15,958","8,025","4,042"
Median (dollars),"32,252","16,473","33,874","40,518","43,808","42,947","41,416"
,,,,,,,
,,,,,,,
INDIANA,,,,,,,
,,,,,,,
  Total,"2,064,246","493,305","666,873","365,749","327,677","143,430","67,212"
"Less than $5,000","112,983","63,399","22,005","13,756","8,512","3,534","1,777"
"$5,000 to $9,999","186,940","115,838","38,516","15,171","9,594","4,711","3,110"
"$10,000 to $12,499","101,425","48,443","30,669","11,054","6,394","3,154","1,711"
"$12,500 to $14,999","90,499","35,035","33,295","10,552","6,715","3,209","1,693"
"$15,000 to $17,499","103,797","36,962","37,547","13,565","9,233","4,135","2,355"
"$17,500 to $19,999","97,266","28,970","37,029","14,124","9,959","4,696","2,488"
"$20,000 to $22,499","107,660","29,163","40,418","16,377","12,861","6,119","2,722"
"$22,500 to $24,999","88,959","19,366","34,600","15,539","11,570","5,325","2,559"
"$25,000 to $27,499","99,866","20,862","36,479","17,352","15,529","6,642","3,002"
"$27,500 to $29,999","82,353","13,759","31,493","15,304","13,447","5,946","2,404"
"$30,000 to $32,499","98,888","17,089","34,550","18,626","17,683","7,697","3,243"
"$32,500 to $34,999","75,770","9,268","27,492","15,589","14,315","6,495","2,611"
"$35,000 to $37,499","85,883","11,637","28,635","17,865","17,319","7,217","3,210"
"$37,500 to $39,999","67,450","6,471","22,986","15,042","14,175","5,923","2,853"
"$40,000 to $42,499","79,265","8,191","25,739","17,070","17,958","7,439","2,868"
"$42,500 to $44,999","57,551","4,166","19,000","13,170","12,986","5,860","2,369"
"$45,000 to $47,499","60,885","4,525","19,620","14,162","14,186","5,736","2,656"
"$47,500 to $49,999","47,890","2,635","15,408","11,387","11,379","4,808","2,273"
"$50,000 to $54,999","92,483","4,940","29,052","21,918","22,651","9,566","4,356"
"$55,000 to $59,999","68,503","2,713","20,973","16,940","17,353","7,072","3,452"
"$60,000 to $74,499","130,755","4,757","39,848","32,009","33,544","14,063","6,534"
"$75,000 to $99,999","75,857","2,398","23,363","18,615","19,002","8,331","4,148"
"$100,000 to $124,999","23,304","1,192","7,521","5,170","5,221","2,792","1,408"
"$125,000 to $149,999","9,328",378,"3,607","1,817","2,104",854,568
"$150,000 or more","18,686","1,148","7,028","3,575","3,987","2,106",842
Median (dollars),"28,797","13,854","29,316","35,821","39,388","38,697","38,132"
,,,,,,,
,,,,,,,
IOWA,,,,,,,
,,,,,,,
  Total,"1,065,243","274,365","367,093","164,062","156,645","73,629","29,449"
"Less than $5,000","59,821","36,338","12,590","5,844","2,989","1,316",744
"$5,000 to $9,999","113,277","69,643","25,133","8,742","5,840","2,713","1,206"
"$10,000 to $12,499","58,528","27,951","19,364","5,236","3,321","1,642","1,014"
"$12,500 to $14,999","53,033","21,741","19,687","5,245","3,596","2,025",739
"$15,000 to $17,499","57,963","20,678","22,012","6,727","5,073","2,424","1,049"
"$17,500 to $19,999","52,971","16,373","21,045","6,424","5,236","2,545","1,348"
"$20,000 to $22,499","59,878","16,419","23,751","8,045","6,758","3,296","1,609"
"$22,500 to $24,999","50,401","11,450","20,133","7,559","6,716","3,249","1,294"
"$25,000 to $27,499","54,406","10,370","21,546","8,649","8,239","4,145","1,457"
"$27,500 to $29,999","46,682","7,304","18,399","8,178","7,546","3,842","1,413"
"$30,000 to $32,499","52,326","8,342","19,261","9,265","9,308","4,511","1,639"
"$32,500 to $34,999","41,583","4,629","15,582","8,011","8,060","3,853","1,448"
"$35,000 to $37,499","42,188","4,433","14,924","8,273","8,918","4,147","1,493"
"$37,500 to $39,999","34,179","2,655","12,906","6,534","7,513","3,382","1,189"
"$40,000 to $42,499","37,832","3,097","13,763","7,250","8,394","3,885","1,443"
"$42,500 to $44,999","27,963","1,802","10,149","5,811","6,242","2,897","1,062"
"$45,000 to $47,499","27,454","1,797","9,344","5,903","6,376","2,981","1,053"
"$47,500 to $49,999","22,247","1,162","7,653","4,754","5,395","2,375",908
"$50,000 to $54,999","41,387","2,100","13,796","8,567","10,483","4,567","1,874"
"$55,000 to $59,999","28,689","1,266","9,467","6,706","7,105","3,126","1,019"
"$60,000 to $74,499","51,263","2,301","17,653","11,858","12,300","5,238","1,913"
"$75,000 to $99,999","28,894","1,231","10,201","6,175","6,790","3,136","1,361"
"$100,000 to $124,999","9,613",547,"3,707","1,969","1,867","1,079",444
"$125,000 to $149,999","4,319",239,"1,763",833,827,442,215
"$150,000 or more","8,346",497,"3,264","1,504","1,753",813,515
Median (dollars),"26,229","12,874","27,301","33,161","36,581","35,756","34,593"
,,,,,,,
,,,,,,,
KANSAS,,,,,,,
,,,,,,,
  Total,"946,253","243,325","316,475","150,654","141,999","65,373","28,427"
"Less than $5,000","56,138","34,731","10,904","5,685","2,878","1,260",680
"$5,000 to $9,999","93,556","56,244","21,187","6,777","5,268","2,856","1,224"
"$10,000 to $12,499","49,938","23,276","16,055","4,868","3,278","1,638",823
"$12,500 to $14,999","43,643","17,051","15,858","4,711","3,507","1,695",821
"$15,000 to $17,499","49,162","18,047","17,255","6,225","4,273","2,222","1,140"
"$17,500 to $19,999","45,249","14,066","16,972","6,073","4,462","2,480","1,196"
"$20,000 to $22,499","50,649","14,703","17,855","6,991","6,160","3,321","1,619"
"$22,500 to $24,999","42,626","10,117","16,251","6,438","5,706","2,866","1,248"
"$25,000 to $27,499","46,010","10,059","16,689","7,451","6,817","3,403","1,591"
"$27,500 to $29,999","38,004","7,114","14,011","6,520","6,193","2,955","1,211"
"$30,000 to $32,499","46,233","8,505","16,515","7,931","8,014","3,661","1,607"
"$32,500 to $34,999","34,484","4,401","12,845","6,331","6,312","3,230","1,365"
"$35,000 to $37,499","36,983","4,660","12,990","7,203","7,375","3,377","1,378"
"$37,500 to $39,999","29,021","2,902","10,361","5,697","6,224","2,686","1,151"
"$40,000 to $42,499","32,495","3,413","11,396","6,188","7,220","3,007","1,271"
"$42,500 to $44,999","23,761","1,661","8,610","5,049","5,306","2,143",992
"$45,000 to $47,499","25,428","2,017","9,221","5,135","5,675","2,488",892
"$47,500 to $49,999","20,309","1,414","7,140","4,287","4,699","1,987",782
"$50,000 to $54,999","39,158","2,316","13,619","8,510","9,409","3,689","1,615"
"$55,000 to $59,999","28,124","1,322","9,545","6,393","6,764","2,944","1,156"
"$60,000 to $74,499","54,965","2,431","19,167","12,833","12,895","5,536","2,103"
"$75,000 to $99,999","33,394","1,430","11,616","7,653","7,956","3,245","1,494"
"$100,000 to $124,999","11,842",603,"4,455","2,692","2,493","1,123",476
"$125,000 to $149,999","4,811",280,"1,821","1,005",975,555,175
"$150,000 or more","10,270",562,"4,137","2,008","2,140","1,006",417
Median (dollars),"27,291","13,587","29,144","34,734","37,804","35,814","34,429"
,,,,,,,
,,,,,,,
KENTUCKY,,,,,,,
,,,,,,,
  Total,"1,379,610","319,383","440,086","271,928","222,515","88,364","37,334"
"Less than $5,000","145,176","73,847","31,079","19,404","12,348","5,684","2,814"
"$5,000 to $9,999","176,377","80,188","51,427","21,420","13,203","6,505","3,634"
"$10,000 to $12,499","85,439","28,682","30,302","13,063","7,750","3,700","1,942"
"$12,500 to $14,999","70,493","19,175","26,916","11,802","7,856","3,243","1,501"
"$15,000 to $17,499","75,759","19,609","27,217","13,439","9,492","4,148","1,854"
"$17,500 to $19,999","64,565","14,563","23,912","12,413","8,509","3,530","1,638"
"$20,000 to $22,499","71,196","15,266","25,520","13,939","10,899","3,946","1,626"
"$22,500 to $24,999","58,279","10,360","21,670","11,736","9,162","3,880","1,471"
"$25,000 to $27,499","62,987","11,177","21,627","13,850","10,875","3,847","1,611"
"$27,500 to $29,999","50,933","6,940","17,811","11,610","9,763","3,494","1,315"
"$30,000 to $32,499","59,591","8,694","19,100","13,981","11,806","4,487","1,523"
"$32,500 to $34,999","43,369","4,458","14,640","10,708","9,052","3,174","1,337"
"$35,000 to $37,499","47,617","5,212","15,159","11,744","10,059","4,108","1,335"
"$37,500 to $39,999","37,023","2,969","12,434","9,139","8,436","2,816","1,229"
"$40,000 to $42,499","41,984","3,798","13,293","10,017","9,952","3,470","1,454"
"$42,500 to $44,999","29,551","1,739","9,303","7,603","7,151","2,783",972
"$45,000 to $47,499","30,758","1,809","9,265","7,944","7,682","2,864","1,194"
"$47,500 to $49,999","24,570","1,209","7,401","6,681","6,101","2,337",841
"$50,000 to $54,999","46,383","2,409","13,642","11,721","12,480","4,532","1,599"
"$55,000 to $59,999","32,978","1,249","9,985","8,678","8,733","3,104","1,229"
"$60,000 to $74,499","60,947","2,313","18,138","16,011","15,934","6,083","2,468"
"$75,000 to $99,999","35,565","1,670","10,826","8,882","8,939","3,706","1,542"
"$100,000 to $124,999","12,069",747,"3,924","2,796","2,831","1,172",599
"$125,000 to $149,999","5,022",388,"1,712","1,133","1,021",519,249
"$150,000 or more","10,979",912,"3,783","2,214","2,481","1,232",357
Median (dollars),"22,534","10,493","22,923","28,555","32,414","31,229","28,595"
,,,,,,,
,,,,,,,
LOUISIANA,,,,,,,
,,,,,,,
  Total,"1,498,371","351,609","431,324","276,308","244,417","121,003","73,710"
"Less than $5,000","188,156","89,670","36,975","24,859","17,756","10,311","8,585"
"$5,000 to $9,999","187,026","79,586","51,353","23,428","15,136","9,428","8,095"
"$10,000 to $12,499","92,975","29,488","28,964","14,567","9,932","5,571","4,453"
"$12,500 to $14,999","75,174","19,826","26,143","12,243","8,172","4,788","4,002"
"$15,000 to $17,499","78,579","20,027","25,151","13,789","10,160","5,421","4,031"
"$17,500 to $19,999","68,574","15,255","22,751","12,108","9,853","5,011","3,596"
"$20,000 to $22,499","75,286","17,274","23,325","13,973","11,117","5,777","3,820"
"$22,500 to $24,999","60,065","10,971","19,413","11,829","10,207","4,776","2,869"
"$25,000 to $27,499","65,292","12,301","19,739","13,237","11,242","5,670","3,103"
"$27,500 to $29,999","50,856","7,745","16,077","10,500","9,509","4,264","2,761"
"$30,000 to $32,499","61,674","9,599","17,966","13,501","12,230","5,797","2,581"
"$32,500 to $34,999","43,526","5,053","13,240","9,611","8,748","4,556","2,318"
"$35,000 to $37,499","49,029","6,327","14,496","10,378","10,674","4,867","2,287"
"$37,500 to $39,999","37,594","3,728","10,600","8,661","8,828","3,829","1,948"
"$40,000 to $42,499","43,802","4,634","12,032","10,217","10,273","4,311","2,335"
"$42,500 to $44,999","31,445","2,325","8,958","7,255","7,927","3,498","1,482"
"$45,000 to $47,499","32,887","2,601","9,129","7,464","8,020","3,773","1,900"
"$47,500 to $49,999","25,077","1,690","6,974","5,926","6,075","3,039","1,373"
"$50,000 to $54,999","49,214","3,483","14,093","11,413","12,484","5,393","2,348"
"$55,000 to $59,999","36,087","1,826","10,041","8,382","9,563","4,178","2,097"
"$60,000 to $74,499","68,564","3,497","19,260","16,119","18,318","7,826","3,544"
"$75,000 to $99,999","41,083","2,132","12,104","9,299","10,325","4,960","2,263"
"$100,000 to $124,999","15,380","1,027","4,986","3,518","3,533","1,530",786
"$125,000 to $149,999","6,548",488,"2,195","1,372","1,418",726,349
"$150,000 or more","14,478","1,056","5,359","2,659","2,917","1,703",784
Median (dollars),"21,949","10,555","22,629","27,145","31,865","29,698","22,738"
,,,,,,,
,,,,,,,
MAINE,,,,,,,
,,,,,,,
  Total,"465,729","107,856","158,537","83,547","75,634","28,951","11,204"
"Less than $5,000","23,344","15,556","4,428","1,850",965,387,158
"$5,000 to $9,999","48,062","28,579","11,683","4,367","2,351",803,279
"$10,000 to $12,499","23,404","9,526","8,898","2,298","1,672",706,304
"$12,500 to $14,999","21,011","7,569","8,092","2,531","1,797",626,396
"$15,000 to $17,499","24,359","8,146","9,397","3,167","2,147","1,079",423
"$17,500 to $19,999","21,955","6,191","8,695","3,077","2,516","1,082",394
"$20,000 to $22,499","25,123","6,374","9,650","3,781","3,335","1,397",586
"$22,500 to $24,999","20,385","3,860","8,356","3,493","3,093","1,072",511
"$25,000 to $27,499","22,472","4,342","8,410","3,975","3,700","1,438",607
"$27,500 to $29,999","19,412","2,960","7,195","3,848","3,507","1,387",515
"$30,000 to $32,499","23,976","3,577","8,551","4,972","4,492","1,812",572
"$32,500 to $34,999","17,224","1,654","6,315","3,908","3,521","1,357",469
"$35,000 to $37,499","19,483","1,891","7,184","4,415","4,107","1,444",442
"$37,500 to $39,999","15,451",999,"5,574","3,562","3,678","1,211",427
"$40,000 to $42,499","17,990","1,464","6,189","4,251","4,240","1,297",549
"$42,500 to $44,999","12,609",660,"4,532","3,072","2,952","1,120",273
"$45,000 to $47,499","13,328",679,"4,417","3,268","3,338","1,199",427
"$47,500 to $49,999","10,839",423,"3,706","2,628","2,761",970,351
"$50,000 to $54,999","19,576",879,"6,294","5,036","4,907","1,885",575
"$55,000 to $59,999","14,502",475,"4,608","3,778","3,706","1,416",519
"$60,000 to $74,499","25,569","1,001","7,780","6,672","6,568","2,517","1,031"
"$75,000 to $99,999","14,267",470,"4,550","3,212","3,687","1,568",780
"$100,000 to $124,999","5,079",236,"1,656","1,144","1,213",540,290
"$125,000 to $149,999","2,093",62,753,414,540,213,111
"$150,000 or more","4,216",283,"1,624",828,841,425,215
Median (dollars),"27,854","12,588","28,077","35,287","37,917","37,302","37,195"
,,,,,,,
,,,,,,,
MARYLAND,,,,,,,
,,,,,,,
  Total,"1,749,342","391,814","548,326","339,910","282,572","120,762","65,958"
"Less than $5,000","76,524","43,400","14,456","9,887","4,952","2,244","1,585"
"$5,000 to $9,999","96,326","56,544","19,943","8,646","6,467","2,943","1,783"
"$10,000 to $12,499","51,557","24,801","15,131","5,588","3,386","1,458","1,193"
"$12,500 to $14,999","46,479","19,536","15,438","5,553","3,438","1,511","1,003"
"$15,000 to $17,499","57,816","23,010","18,576","7,878","4,861","1,943","1,548"
"$17,500 to $19,999","54,762","19,576","18,899","7,839","4,861","2,112","1,475"
"$20,000 to $22,499","66,425","23,788","21,927","9,653","6,217","3,048","1,792"
"$22,500 to $24,999","57,231","17,949","19,669","8,972","6,240","2,759","1,642"
"$25,000 to $27,499","69,960","22,139","22,977","11,162","8,153","3,532","1,997"
"$27,500 to $29,999","57,272","15,127","19,880","9,916","7,187","3,265","1,897"
"$30,000 to $32,499","73,845","20,268","23,735","13,177","10,033","4,328","2,304"
"$32,500 to $34,999","56,082","11,891","19,171","11,005","8,496","3,663","1,856"
"$35,000 to $37,499","68,314","15,396","21,964","13,331","10,698","4,570","2,355"
"$37,500 to $39,999","55,769","9,961","18,966","11,587","9,158","4,025","2,072"
"$40,000 to $42,499","67,855","11,857","22,302","14,042","12,196","4,941","2,517"
"$42,500 to $44,999","50,782","6,493","17,168","11,885","9,437","3,881","1,918"
"$45,000 to $47,499","57,961","7,706","19,951","12,965","10,985","4,117","2,237"
"$47,500 to $49,999","46,931","5,152","15,736","10,621","9,594","3,840","1,988"
"$50,000 to $54,999","98,440","9,723","32,562","22,850","20,809","8,388","4,108"
"$55,000 to $59,999","80,578","6,019","26,764","19,696","17,690","6,930","3,479"
"$60,000 to $74,499","184,742","10,424","58,955","46,855","42,025","17,945","8,538"
"$75,000 to $99,999","152,604","5,695","46,075","39,035","36,803","16,041","8,955"
"$100,000 to $124,999","59,331","2,187","18,032","14,653","14,386","6,430","3,643"
"$125,000 to $149,999","23,352",930,"7,534","5,332","5,504","2,398","1,654"
"$150,000 or more","38,404","2,242","12,515","7,782","8,996","4,450","2,419"
Median (dollars),"39,386","20,950","40,385","46,896","51,075","51,200","49,770"
,,,,,,,
,,,,,,,
MASSACHUSETTS,,,,,,,
,,,,,,,
  Total,"2,244,406","576,230","697,272","392,399","345,434","156,851","76,220"
"Less than $5,000","91,295","56,245","16,982","8,507","5,580","2,384","1,597"
"$5,000 to $9,999","209,406","139,566","36,208","17,062","9,742","4,294","2,534"
"$10,000 to $12,499","79,429","40,714","24,576","6,626","4,209","1,841","1,463"
"$12,500 to $14,999","66,929","30,137","23,575","6,253","3,753","1,981","1,230"
"$15,000 to $17,499","76,818","32,420","27,014","8,317","5,254","2,459","1,354"
"$17,500 to $19,999","70,648","27,051","26,692","8,148","5,309","2,107","1,341"
"$20,000 to $22,499","83,863","32,294","29,193","10,349","7,192","3,156","1,679"
"$22,500 to $24,999","68,475","22,222","26,063","9,187","6,464","3,003","1,536"
"$25,000 to $27,499","85,480","28,214","29,465","12,439","9,337","4,044","1,981"
"$27,500 to $29,999","68,408","18,545","24,773","11,272","8,215","3,871","1,732"
"$30,000 to $32,499","89,784","25,711","29,469","14,133","12,206","5,789","2,476"
"$32,500 to $34,999","67,061","13,785","24,767","12,613","9,673","4,402","1,821"
"$35,000 to $37,499","82,740","18,104","27,337","15,739","13,435","5,781","2,344"
"$37,500 to $39,999","66,641","11,238","23,104","13,222","11,795","5,114","2,168"
"$40,000 to $42,499","82,380","14,271","26,911","16,603","15,158","6,796","2,641"
"$42,500 to $44,999","61,175","7,127","21,323","13,815","11,848","4,870","2,192"
"$45,000 to $47,499","69,006","8,037","23,890","14,955","13,868","5,644","2,612"
"$47,500 to $49,999","55,108","5,229","19,825","12,162","11,327","4,629","1,936"
"$50,000 to $54,999","119,618","11,035","40,740","27,274","24,803","10,845","4,921"
"$55,000 to $59,999","97,719","6,253","34,496","22,387","21,142","9,433","4,008"
"$60,000 to $74,499","224,308","13,061","68,963","55,339","53,613","22,988","10,344"
"$75,000 to $99,999","178,806","7,617","49,385","44,067","45,225","21,657","10,855"
"$100,000 to $124,999","72,509","3,129","19,135","16,016","18,700","9,785","5,744"
"$125,000 to $149,999","29,839","1,397","8,643","6,471","6,978","3,814","2,536"
"$150,000 or more","46,961","2,828","14,743","9,443","10,608","6,164","3,175"
Median (dollars),"36,952","16,654","37,773","46,992","51,551","52,743","53,411"
,,,,,,,
,,,,,,,
MICHIGAN,,,,,,,
,,,,,,,
  Total,"3,424,122","805,670","1,082,989","599,049","546,615","256,880","132,919"
"Less than $5,000","203,692","110,230","44,711","23,783","14,044","6,617","4,307"
"$5,000 to $9,999","329,871","178,626","70,998","37,360","24,286","11,573","7,028"
"$10,000 to $12,499","157,429","69,904","47,931","16,779","12,174","5,944","4,697"
"$12,500 to $14,999","136,230","51,529","49,267","15,284","10,623","5,479","4,048"
"$15,000 to $17,499","148,772","51,487","55,486","18,760","12,959","6,257","3,823"
"$17,500 to $19,999","135,058","39,877","53,299","17,785","13,101","6,814","4,182"
"$20,000 to $22,499","150,724","42,366","56,551","22,065","16,579","8,218","4,945"
"$22,500 to $24,999","127,463","30,674","50,197","19,383","15,642","7,237","4,330"
"$25,000 to $27,499","142,471","33,579","51,336","23,520","19,270","9,772","4,994"
"$27,500 to $29,999","119,568","23,855","44,314","20,858","17,689","8,602","4,250"
"$30,000 to $32,499","148,969","31,980","49,272","26,205","24,033","11,624","5,855"
"$32,500 to $34,999","114,342","17,900","40,258","21,655","20,238","9,432","4,859"
"$35,000 to $37,499","130,903","22,139","42,663","25,225","23,779","11,569","5,528"
"$37,500 to $39,999","105,740","14,446","35,542","21,406","20,056","9,647","4,643"
"$40,000 to $42,499","126,737","17,889","39,484","25,884","26,357","11,825","5,298"
"$42,500 to $44,999","93,225","9,423","30,198","20,123","19,815","9,434","4,232"
"$45,000 to $47,499","100,851","10,155","32,485","21,407","21,895","10,046","4,863"
"$47,500 to $49,999","81,507","6,775","25,953","17,896","18,408","8,509","3,966"
"$50,000 to $54,999","163,175","12,427","50,931","36,598","38,191","17,415","7,613"
"$55,000 to $59,999","127,089","7,225","39,176","30,530","30,588","13,173","6,397"
"$60,000 to $74,499","266,496","11,614","78,260","63,592","68,213","30,292","14,525"
"$75,000 to $99,999","185,137","5,588","53,615","44,151","48,516","22,545","10,722"
"$100,000 to $124,999","62,915","2,382","18,988","14,349","15,443","7,730","4,023"
"$125,000 to $149,999","24,362",976,"7,651","5,874","5,428","2,854","1,579"
"$150,000 or more","41,396","2,624","14,423","8,577","9,288","4,272","2,212"
Median (dollars),"31,020","14,638","30,883","38,769","42,813","42,041","39,446"
,,,,,,,
,,,,,,,
MINNESOTA,,,,,,,
,,,,,,,
  Total,"1,648,825","411,914","540,255","265,031","257,118","121,015","53,492"
"Less than $5,000","72,190","50,127","11,956","4,264","3,006","1,586","1,251"
"$5,000 to $9,999","155,847","92,150","35,992","13,570","8,143","3,880","2,112"
"$10,000 to $12,499","75,108","36,908","23,339","6,466","4,403","2,345","1,647"
"$12,500 to $14,999","66,147","27,594","24,172","6,295","4,443","2,029","1,614"
"$15,000 to $17,499","74,543","28,470","27,610","8,055","5,635","2,935","1,838"
"$17,500 to $19,999","68,915","24,107","26,266","7,905","5,785","3,153","1,699"
"$20,000 to $22,499","78,337","25,273","29,140","9,804","7,986","3,998","2,136"
"$22,500 to $24,999","67,339","17,983","26,380","9,284","7,724","4,076","1,892"
"$25,000 to $27,499","75,139","19,569","27,185","10,937","9,801","5,101","2,546"
"$27,500 to $29,999","63,065","12,703","23,808","10,264","9,503","4,534","2,253"
"$30,000 to $32,499","76,449","16,207","26,382","12,460","12,394","6,171","2,835"
"$32,500 to $34,999","59,076","8,584","21,587","10,786","10,539","5,375","2,205"
"$35,000 to $37,499","67,409","9,840","23,476","12,288","13,198","6,070","2,537"
"$37,500 to $39,999","54,400","6,075","18,899","10,581","11,149","5,472","2,224"
"$40,000 to $42,499","63,288","7,128","21,343","12,320","13,222","6,751","2,524"
"$42,500 to $44,999","49,000","3,784","16,783","10,593","10,824","5,185","1,831"
"$45,000 to $47,499","50,689","4,153","17,087","10,354","11,256","5,843","1,996"
"$47,500 to $49,999","40,744","2,372","13,638","8,964","9,498","4,634","1,638"
"$50,000 to $54,999","79,007","4,898","26,023","17,017","19,352","8,506","3,211"
"$55,000 to $59,999","60,407","2,805","19,558","13,861","15,961","6,041","2,181"
"$60,000 to $74,499","117,357","4,998","36,862","27,953","30,255","12,668","4,621"
"$75,000 to $99,999","74,782","2,842","22,994","18,062","19,112","8,232","3,540"
"$100,000 to $124,999","26,994","1,373","8,460","6,075","6,682","3,071","1,333"
"$125,000 to $149,999","11,191",634,"3,552","2,516","2,679","1,163",647
"$150,000 or more","21,402","1,337","7,763","4,357","4,568","2,196","1,181"
Median (dollars),"30,909","14,926","31,353","39,895","42,876","41,401","37,703"
,,,,,,,
,,,,,,,
MISSISSIPPI,,,,,,,
,,,,,,,
  Total,"910,574","210,277","268,274","168,253","146,466","69,775","47,529"
"Less than $5,000","118,663","63,836","21,219","13,541","9,375","5,354","5,338"
"$5,000 to $9,999","129,769","53,003","38,047","15,518","10,789","6,421","5,991"
"$10,000 to $12,499","59,375","16,431","20,329","9,404","6,680","3,242","3,289"
